area_sqft,bedrooms,bathrooms,floor,age_years,location_score,has_gated,distance_km,parking,near_metro,price
1389,4,4,7,2,8.4,1,1.78,1,0,10151977
832,3,3,6,11,8.31,1,1.07,0,0,6397691
1820,3,3,7,1,6.3,1,0.62,1,0,11403077
887,3,3,5,21,10.0,0,4.79,1,0,6418115
1071,3,2,1,3,6.57,1,2.93,1,0,7217213
1525,2,2,1,1,4.58,0,1.04,1,0,7459508
708,1,1,7,5,5.83,0,5.29,1,0,3527892
1291,3,2,10,0,5.43,0,0.8,1,1,6883256
1723,3,2,0,9,7.57,0,4.04,1,0,10591230
557,2,1,5,19,5.15,1,3.74,0,1,3465336
1274,3,2,5,15,6.19,0,6.63,1,0,6992945
1304,5,4,10,1,7.47,1,0.28,0,0,9137769
1513,2,1,3,1,7.21,0,10.94,1,0,8949011
705,3,3,11,13,6.98,0,6.07,0,0,3918005
672,3,3,10,21,7.19,1,1.22,1,1,4420503
1409,4,3,10,5,6.44,0,1.01,0,0,7931571
1319,2,1,9,6,4.59,0,2.83,0,0,6142238
1300,3,2,2,3,6.4,0,8.51,1,1,7329016
1339,4,3,10,18,7.7,1,9.26,1,0,9493076
928,4,3,2,8,6.79,1,3.67,0,0,6135115
1293,3,2,0,3,7.59,0,9.86,1,0,8047022
1317,3,2,2,3,6.12,1,0.2,1,0,8169009
914,3,3,3,18,8.49,1,0.2,1,0,7006381
1946,4,3,10,0,3.17,1,12.14,0,0,9883039
1390,3,2,10,3,7.21,1,7.47,1,0,9286561
723,1,1,4,6,9.02,0,3.0,0,0,5246061
1463,4,3,2,1,9.25,1,7.0,1,0,10767521
810,3,2,5,1,6.65,0,15.58,0,1,4327874
1515,3,3,10,14,5.01,0,7.39,1,0,7702608
1663,2,1,11,18,9.05,1,9.24,0,0,12061331
872,3,2,4,14,6.92,1,7.15,1,0,5620522
1585,3,3,2,18,6.76,0,0.92,1,0,9350519
1365,3,3,5,6,5.66,0,8.97,0,0,7063228
1529,2,2,5,13,5.13,1,1.09,0,0,8786269
1959,3,2,7,4,7.85,0,11.16,1,1,11927518
1102,5,5,1,9,8.0,0,3.07,1,0,7168182
899,1,1,0,36,7.3,0,5.65,1,0,5226975
844,5,4,3,2,5.85,0,3.44,1,0,4793734
874,3,2,6,4,5.4,1,0.49,1,0,5191918
1169,4,3,10,5,4.85,0,1.72,1,0,5783563
1336,4,3,9,1,6.16,1,20.59,0,0,8144369
1311,3,2,2,1,5.49,0,16.18,1,0,6723565
1531,3,3,2,14,4.44,1,1.93,0,1,8149667
1205,4,4,4,30,7.98,1,27.99,1,0,7867277
1781,3,3,4,4,5.02,1,9.34,1,0,10323047
1094,3,2,9,1,8.48,1,4.72,1,0,7986065
2288,3,3,2,1,7.59,1,0.2,1,0,15986651
1450,4,3,8,18,7.44,0,11.59,1,0,8562915
857,4,4,3,5,9.5,1,4.08,1,0,6620653
772,4,3,2,3,5.07,1,10.14,0,0,4364164
1393,3,3,10,5,8.31,0,8.99,1,0,9010019
1111,4,3,1,3,6.55,0,8.95,1,0,6415022
1486,2,2,9,5,10.0,1,5.99,1,0,11679082
1389,3,3,10,16,6.43,1,1.72,0,0,8860145
1171,1,1,8,7,6.19,0,2.05,0,0,6232222
861,3,2,3,9,7.64,0,1.84,0,0,5149803
594,3,3,2,4,6.69,1,0.2,0,0,4113861
1021,3,2,6,11,5.86,0,4.37,1,0,5777088
1543,3,3,7,9,5.54,1,6.0,1,0,9124337
1286,3,2,10,1,9.19,1,9.62,1,0,9579509
702,3,2,1,7,5.25,1,0.76,1,0,4428202
1269,2,1,6,2,7.33,0,3.93,1,0,7699445
1354,3,2,11,13,8.58,1,0.2,0,0,9925133
846,2,2,4,4,8.66,1,0.5,1,0,6053830
1261,2,1,10,42,6.1,1,0.28,1,0,7747323
1223,3,2,4,1,6.69,0,6.46,0,0,7099670
743,3,2,2,12,6.4,0,0.42,1,0,4646433
1343,3,2,4,9,4.7,1,6.3,1,0,7289573
1424,3,3,11,12,7.81,0,1.44,0,0,8708979
1633,3,3,1,3,7.06,0,10.51,0,0,9407946
1622,4,3,3,5,9.16,0,8.39,1,0,10196157
649,3,3,5,13,5.77,1,15.83,0,0,3559095
825,3,3,0,2,8.63,0,10.76,1,0,5312991
1406,1,1,9,2,8.74,0,13.54,0,0,8606344
1406,3,3,3,6,7.07,0,9.79,1,0,8156605
1406,3,2,5,6,3.74,1,5.91,1,0,7823189
2741,3,2,8,3,6.23,0,0.93,1,0,14949825
1428,3,3,10,3,9.68,0,1.59,1,0,9967934
1654,3,2,10,3,7.45,0,1.2,0,0,9803077
1582,3,3,1,12,8.04,1,4.63,1,0,11172716
1461,4,4,10,8,6.87,0,3.5,1,0,8503676
1074,4,3,6,14,6.66,0,10.09,0,0,6534751
1504,3,3,5,30,4.2,0,15.25,0,0,6979974
891,5,4,1,5,8.19,1,2.59,1,0,6127429
1105,1,1,7,1,8.62,1,3.53,1,0,7870121
1006,2,2,6,0,5.57,1,17.79,1,1,5797186
1233,1,1,10,3,6.73,1,1.62,1,1,7920096
2126,3,2,4,22,6.53,0,7.86,1,0,11421255
453,4,3,11,6,7.63,1,1.28,1,1,3361343
1475,2,2,4,3,6.18,0,5.72,1,0,7889712
555,4,4,6,4,8.4,0,1.46,0,0,3378189
1011,2,2,8,7,7.11,0,10.76,1,0,6322973
1636,4,3,10,8,3.18,0,4.12,1,0,6893788
1226,3,2,8,1,7.66,1,1.03,1,0,8474035
769,2,1,8,30,8.49,0,1.27,1,1,5329237
914,3,3,5,6,5.27,1,3.4,1,0,5423292
1472,2,1,9,1,7.61,0,16.3,1,0,8301245
908,2,1,5,18,9.74,0,7.34,0,0,6085243
1287,3,3,2,1,7.17,1,3.35,0,0,9013751
1218,4,3,0,19,8.71,1,2.06,1,0,8913356
939,3,3,6,45,6.34,1,3.98,1,0,5850979
2058,3,3,3,10,6.97,0,6.9,0,0,11774094
1454,3,3,0,12,6.69,0,7.66,1,0,8141777
390,3,2,7,3,6.42,1,1.96,0,0,3085998
1275,2,1,11,23,6.78,1,6.39,1,0,8117610
935,3,3,5,6,4.55,0,5.36,1,1,5088926
1541,2,2,5,11,6.5,1,15.98,1,0,9822630
883,2,2,1,21,9.01,1,13.37,0,0,6230610
1154,3,2,0,30,5.55,1,7.79,1,0,6951311
1402,2,2,1,14,5.4,1,6.43,1,0,8092268
1546,3,3,3,3,7.09,1,1.6,1,1,10365043
720,3,3,1,27,7.17,0,9.35,1,0,4189242
1066,2,2,0,8,7.57,0,2.79,1,0,6569688
1010,3,3,6,21,6.83,1,1.59,1,0,6425225
939,2,2,10,9,7.11,0,2.42,0,1,5629686
1906,5,4,10,3,6.47,0,9.04,1,0,10496529
1362,3,2,11,4,5.09,0,0.8,1,0,7120714
696,4,3,7,6,6.89,0,3.05,1,0,4291690
1567,3,2,5,12,8.09,1,3.39,0,0,10899514
2049,1,1,3,3,7.77,1,0.2,0,0,14271866
1613,3,2,5,7,4.38,0,1.09,0,0,7645040
592,5,4,2,3,7.38,0,8.76,1,0,3809685
1006,3,2,11,14,5.66,1,8.88,1,0,6180422
1707,4,4,7,5,9.09,1,1.73,1,0,12886982
917,4,4,9,1,7.49,1,10.39,1,0,6227032
1378,2,1,1,1,8.34,0,7.39,0,0,8859032
1510,2,2,4,1,7.03,0,2.71,1,0,8962630
829,3,2,0,6,6.9,0,6.9,1,0,4550562
1176,3,2,5,1,9.24,1,16.26,1,0,8510781
300,4,3,1,1,8.46,1,3.07,1,0,2297966
790,4,3,3,23,7.18,1,1.36,1,0,5454374
1099,3,3,5,16,6.7,0,14.22,1,0,6156682
701,2,2,9,5,4.44,1,4.63,0,0,3652476
1853,4,3,10,34,7.49,1,0.56,1,0,12759522
628,2,1,7,0,6.81,0,4.25,1,0,3642550
1024,4,3,11,8,7.83,0,3.47,1,0,6665079
1252,3,2,7,8,8.29,0,9.68,0,0,7465558
1777,3,2,10,5,8.85,0,3.78,0,1,11620149
626,2,1,5,4,7.51,0,1.47,1,0,3757737
1665,3,3,3,5,5.43,0,5.63,1,0,9076869
1204,3,3,7,4,3.78,0,3.91,1,0,5822593
807,3,2,7,10,5.76,0,1.33,0,0,3927032
1385,2,2,9,1,9.0,0,4.26,0,0,8849633
1280,3,2,0,2,9.74,1,8.62,1,1,10126188
960,4,3,3,2,6.64,0,0.2,1,0,5738898
1228,2,1,3,2,4.81,1,4.98,1,0,7175993
1046,2,2,6,6,6.03,0,2.15,1,0,5827215
1245,1,1,10,1,8.71,1,1.73,1,0,9400231
1465,3,3,6,16,6.11,0,2.49,0,0,8128772
1834,3,2,10,3,7.88,1,2.09,0,0,12637130
705,3,3,7,1,7.25,0,8.93,1,0,3957331
2053,2,1,10,9,8.07,1,1.61,1,0,14086819
419,3,3,4,0,9.73,0,6.61,0,0,2850326
1139,3,2,6,8,7.88,1,0.49,1,0,7663020
1435,3,2,7,10,7.22,0,15.12,1,1,8362744
1312,5,4,8,2,9.89,0,4.87,0,0,9003105
951,2,2,2,0,7.52,0,6.13,0,0,6061257
1117,3,2,2,4,5.81,1,1.77,0,0,6918676
1003,3,3,3,1,8.03,1,2.66,1,0,7161912
964,3,2,4,1,7.67,1,1.27,0,0,6265253
1540,3,3,9,2,6.54,0,13.48,1,0,8111025
1343,3,3,0,3,6.22,0,3.35,1,0,7632046
923,5,5,6,6,6.55,1,4.98,0,0,5839521
1560,2,1,8,9,6.2,0,6.63,0,1,9084221
1323,2,1,7,7,6.6,1,2.32,0,0,8455707
1525,3,2,4,1,5.74,1,6.37,1,0,9332588
1452,3,3,3,2,7.58,1,5.63,0,0,9474177
868,2,1,11,17,7.47,0,6.12,0,0,5321163
976,2,1,6,7,7.52,0,3.36,1,0,5752852
1499,2,1,4,16,6.91,0,2.41,0,0,8712200
1444,4,3,6,4,6.73,1,1.26,1,0,9743171
1192,2,2,11,8,9.16,0,8.7,1,0,7925227
1247,3,2,0,6,7.1,0,4.69,1,0,7769715
1711,2,2,0,3,8.9,0,2.94,1,0,11137986
963,3,2,9,5,5.51,0,14.41,0,0,5154742
1419,2,1,2,6,7.88,1,0.25,1,0,9716581
1119,3,2,10,2,5.9,1,9.49,1,0,7055635
1113,2,1,1,3,6.17,0,30.13,1,0,5549873
1640,4,3,1,13,6.38,0,10.9,0,0,8627335
1530,2,2,6,20,6.29,1,8.32,1,1,9265813
1525,3,2,11,4,6.3,0,2.34,0,0,8320156
1722,4,4,9,3,8.83,1,1.32,1,0,12706672
1208,3,2,1,2,7.07,1,6.64,1,0,8075401
1473,3,2,10,9,7.34,0,1.82,0,1,9003649
1076,3,3,3,3,6.31,0,0.97,1,0,5923080
1330,3,2,1,35,8.29,1,7.72,1,0,9865361
1148,3,2,5,3,7.53,0,1.87,1,0,6920507
1239,5,4,7,4,6.54,0,12.29,1,0,7024086
1438,3,2,9,7,4.62,0,9.18,1,0,6916211
873,3,3,3,13,7.32,0,9.41,1,0,5151941
2037,3,2,4,5,7.86,1,7.38,0,0,13892038
798,3,3,3,4,5.53,1,10.64,1,0,4604779
714,2,2,2,43,6.56,1,8.19,0,0,4398292
1663,3,2,4,0,7.81,0,4.61,1,1,9986092
1517,5,5,8,18,4.64,0,1.75,1,0,7404189
1450,2,1,7,1,6.03,1,10.96,1,0,8744887
1451,3,3,7,12,7.57,0,9.18,1,0,8872214
1195,2,1,7,8,8.66,1,3.2,1,1,8792420
841,3,3,11,3,10.0,0,0.2,1,1,6070635
1230,2,1,7,17,9.94,1,5.09,1,0,9657058
929,3,2,6,0,7.22,0,0.26,1,0,5696332
1590,4,4,7,2,6.27,0,13.04,1,0,8404999
1141,3,3,10,7,8.38,0,16.3,1,1,7254887
870,3,2,7,3,6.18,0,1.05,0,0,4739898
1071,4,3,7,8,5.86,0,5.64,1,0,5671744
1365,4,4,11,0,6.54,1,0.48,1,0,8835350
975,2,2,9,1,6.35,1,6.54,1,1,6540569
871,3,3,6,1,7.62,1,2.13,1,0,6011216
1297,2,2,11,2,6.1,1,5.71,1,0,8175900
1298,5,5,0,5,7.13,0,2.33,1,0,7456305
997,4,4,3,11,9.39,0,0.79,1,0,7182672
1012,3,2,3,19,7.18,0,2.61,0,0,5790845
1293,4,3,4,14,9.28,1,0.6,1,1,10099023
621,3,3,9,2,8.8,0,4.3,1,1,4228866
637,3,3,5,5,7.89,1,0.21,0,0,4550806
913,2,1,3,2,6.47,0,3.75,1,0,5302555
1115,4,3,1,2,8.56,1,10.87,1,0,7986939
1324,2,2,5,6,6.63,1,9.1,1,1,8121252
1790,4,3,7,1,7.0,0,10.72,1,0,10483975
1543,4,3,7,2,7.5,0,12.76,1,0,9038122
1136,3,2,6,22,6.99,1,0.55,1,1,7852000
1192,1,1,5,5,5.92,0,0.69,1,0,6692598
799,3,2,1,5,4.71,0,4.07,1,0,3922196
1193,2,1,6,0,8.44,1,11.22,1,0,8585194
1085,3,2,10,2,7.86,0,18.32,1,0,6283193
1329,2,2,11,16,4.42,1,0.24,1,0,7652203
869,4,3,4,1,5.88,1,2.2,1,0,5521266
1408,3,3,5,4,7.27,0,1.2,1,0,8369913
1813,3,3,9,0,7.66,0,7.05,1,0,10940353
1156,3,2,7,5,4.72,0,5.11,1,0,5472064
1361,3,3,7,0,6.87,1,0.64,1,0,9158833
1476,3,2,2,14,7.81,0,3.3,1,1,9328390
1040,3,3,11,14,6.47,1,5.78,1,0,6789146
1290,4,3,11,12,7.38,0,7.55,1,0,8048011
1205,3,3,6,3,6.27,0,0.2,1,0,6797813
1239,5,5,0,15,8.36,0,11.06,1,1,7905795
891,4,3,0,6,5.8,0,4.21,1,0,4606844
1210,2,1,6,4,5.29,0,8.35,0,0,6377450
1399,4,4,9,8,7.04,0,8.25,1,1,7849947
1780,2,2,8,0,4.85,0,1.05,1,0,8983738
1584,4,3,6,1,3.84,0,0.58,1,1,7323439
2061,3,3,9,11,8.63,0,6.39,1,1,13336765
893,4,3,4,2,5.52,1,0.85,1,1,5361660
1549,4,4,7,7,5.0,0,9.48,1,0,7877959
1273,4,3,1,4,5.78,0,6.48,1,0,6577267
2076,4,4,8,15,5.72,1,9.22,0,1,12717600
877,3,2,5,24,6.79,0,1.78,1,0,4956955
864,2,1,8,17,5.36,1,1.9,1,0,5488768
960,3,2,1,3,7.75,0,5.56,1,0,5747044
350,2,1,2,2,7.97,0,0.2,0,0,2053377
990,3,2,11,5,5.09,1,6.48,0,0,5686224
896,3,2,7,0,6.07,0,9.03,1,0,4699293
1260,5,5,0,0,6.22,1,2.68,0,0,7726704
1337,3,2,9,6,6.75,0,7.24,0,0,7263570
1950,4,3,6,6,8.62,1,0.96,0,0,14235665
1580,2,1,6,42,8.71,1,1.94,1,0,11611663
969,4,3,0,2,10.0,0,18.31,1,0,6648561
841,4,3,8,2,3.6,1,21.46,0,0,4031118
1397,3,2,7,1,5.61,0,3.59,0,0,7397260
672,3,2,3,20,9.72,1,13.61,1,0,5400032
1933,4,3,9,12,4.3,0,3.7,1,0,9335374
1672,2,1,10,14,9.69,1,1.72,0,0,12740417
1012,3,2,4,19,7.22,0,1.55,1,0,5831570
515,3,2,1,6,7.28,0,13.26,1,0,2669221
1742,2,1,8,5,5.08,1,0.95,1,0,10277196
1154,3,3,11,3,6.32,1,4.33,1,0,6922854
1695,2,1,11,7,9.62,0,4.05,1,1,11686950
562,1,1,5,5,6.93,0,6.73,1,0,3619704
960,2,1,2,5,6.33,0,3.46,1,1,5247686
1202,5,5,11,22,7.61,0,1.59,1,0,7148363
1219,3,3,6,33,6.71,0,0.93,1,0,7241513
1020,5,4,8,13,7.52,1,4.85,1,0,6424257
1449,3,3,2,11,5.73,0,6.35,1,0,7763316
773,3,2,1,9,6.88,1,4.21,1,0,5513912
1143,3,2,6,1,6.04,1,6.7,0,0,6786272
1248,3,3,6,0,4.29,0,0.76,1,0,5808654
1406,2,2,3,9,7.72,0,10.71,0,0,8418001
1485,3,2,10,10,5.15,0,4.37,0,0,7134409
750,2,1,8,0,6.75,0,0.68,0,0,4465207
586,3,2,7,21,8.39,1,3.1,1,1,4205435
1711,3,2,0,1,4.75,0,9.31,0,0,8548725
1333,2,2,0,3,7.91,1,11.39,1,0,9306222
901,2,1,4,9,6.55,0,1.54,1,0,5211052
1820,4,3,5,1,5.55,0,6.21,1,0,9918874
1246,3,2,2,0,10.0,0,0.53,1,0,9143660
1672,2,1,8,3,7.0,0,0.2,1,0,9951046
1227,5,4,11,12,6.15,0,4.11,1,0,6383484
2024,2,2,9,4,5.83,0,5.93,1,1,10636614
1902,3,3,5,8,8.32,1,7.94,1,0,13721138
1100,5,5,3,7,6.08,1,2.08,1,1,6833391
1589,2,1,11,0,8.13,0,0.2,1,1,10008425
1458,2,2,6,36,7.0,0,3.27,1,1,8376504
1747,2,2,7,0,8.67,0,0.2,0,0,11414167
814,3,3,8,27,5.44,0,0.48,1,0,4606705
1474,2,1,10,6,5.65,0,1.98,1,0,8097525
1623,3,2,5,26,6.58,0,2.87,1,0,9020544
497,2,1,5,1,6.7,0,1.64,1,0,3059145
727,3,2,7,5,6.47,0,4.36,1,0,3986791
384,5,4,11,1,10.0,0,0.28,1,0,2870275
1092,4,3,4,0,10.0,0,0.78,0,0,7808039
1487,3,2,2,8,7.45,1,5.94,0,0,10201532
1801,3,3,11,2,7.63,0,0.77,0,0,10364257
1230,3,2,2,7,6.65,0,5.11,1,0,7046341
1851,3,2,5,1,5.43,0,0.28,1,0,10111572
648,3,3,1,3,6.73,1,2.62,1,0,4411740
519,2,2,5,12,8.16,1,0.98,1,0,3840005
1178,4,4,5,5,8.96,1,0.58,1,0,8759501
1354,3,3,7,8,8.49,0,4.19,1,0,9065660
1187,2,1,6,8,4.74,0,13.18,1,0,5543603
373,3,3,7,15,6.57,1,0.28,1,0,2560246
1164,3,2,8,3,4.8,0,2.74,1,0,5740551
678,4,3,5,9,8.75,0,6.15,0,0,4403992
1468,3,2,2,26,6.38,1,3.11,1,0,9766399
1347,4,3,9,10,6.93,0,8.21,1,0,7542273
824,1,1,2,5,7.72,0,0.99,0,0,5022802
994,3,3,10,8,10.0,0,16.04,1,0,6915703
776,3,3,11,11,7.4,0,2.43,1,0,4592142
1175,1,1,0,8,6.64,0,2.09,1,0,6729506
1582,2,1,10,0,5.14,1,10.38,0,0,9413901
806,4,4,4,2,9.19,1,4.15,1,0,5770650
1402,2,2,3,13,6.73,0,3.63,1,0,7942484
988,3,2,8,3,9.49,1,6.49,0,0,7472065
883,2,2,8,11,8.66,0,4.34,1,0,5712193
1157,1,1,4,4,6.31,0,0.89,0,0,7045690
786,2,1,9,6,4.91,1,5.61,0,0,4582072
979,5,5,3,1,7.41,1,0.72,0,0,6447272
721,4,3,6,2,6.08,1,8.2,0,0,3915484
1986,5,4,5,25,7.06,1,22.9,1,0,12559118
1214,3,3,3,18,8.57,1,2.37,0,0,8574188
920,2,2,9,8,4.52,1,2.94,1,0,5565321
1286,3,2,1,5,7.4,0,0.24,1,0,7780122
1155,3,2,0,9,8.14,1,0.2,1,0,8198242
1112,4,3,3,8,8.21,1,12.72,1,1,7764646
1446,2,2,3,7,4.95,1,0.69,1,0,8744903
1503,3,2,0,0,7.63,0,2.95,1,0,9299334
988,2,1,5,8,8.81,0,8.45,0,0,6698682
970,3,3,3,12,7.51,0,11.01,1,0,5747158
1090,3,2,0,41,6.83,0,3.66,1,0,6553138
300,3,2,0,0,8.71,1,4.16,1,1,2634030
594,3,2,0,10,5.96,0,5.54,0,0,3315454
1747,3,3,7,7,4.71,0,16.27,1,0,8022062
1858,3,2,9,5,6.7,1,4.61,1,0,12176914
1100,4,3,7,1,7.8,0,4.1,1,0,6828103
1431,4,4,1,4,8.56,0,0.2,1,1,9464600
1325,5,4,10,4,7.8,0,0.42,0,0,7982263
2432,4,3,6,3,8.25,1,4.3,1,0,16687201
1648,3,2,7,11,8.57,0,13.76,0,0,10487482
1149,3,2,7,10,6.49,1,10.08,0,0,7254956
818,3,2,10,7,6.78,0,20.25,1,0,4226405
557,2,1,9,22,8.93,0,3.75,0,0,3789661
1281,4,3,10,3,5.18,0,7.75,0,0,6658959
